Title,Season,Episode,Date
"Dark Matter","Season 1","Episode 9","12/27/15"
"Dark Matter","Season 1","Episode 8","12/27/15"
"Dark Matter","Season 1","Episode 7","12/27/15"
"Dark Matter","Season 1","Episode 6","12/26/15"
"Dark Matter","Season 1","Episode 5","12/26/15"
"Dark Matter","Season 1","Episode 4","12/26/15"
"Dark Matter","Season 1","Episode 3","12/26/15"
"Dark Matter","Season 1","Episode 2","12/25/15"
"Dark Matter","Season 1","Episode 1","12/25/15"
"Star Trek: The Next Generation","Season 5","The Outcast","12/24/15"
"Attack on Titan","Season 1","Smile: Raid on Stohess District, Part 1","12/23/15"
"Star Trek: The Next Generation","Season 5","Ethics","12/21/15"
"Star Trek: The Next Generation","Season 5","Power Play","12/21/15"
"Star Trek: The Next Generation","Season 5","Conundrum","12/21/15"
"Star Trek: The Next Generation","Season 5","The Masterpiece Society","12/21/15"
"Star Trek: The Next Generation","Season 5","Violations","12/20/15"
"Star Trek: The Next Generation","Season 5","Hero Worship","12/20/15"
"Star Trek: The Next Generation","Season 5","New Ground","12/20/15"
"Star Trek: The Next Generation","Season 5","A Matter of Time","12/20/15"
"Star Trek: The Next Generation","Season 5","Unification: Part 2","12/19/15"
"Star Trek: The Next Generation","Season 5","Unification: Part 1","12/19/15"
"Star Trek: The Next Generation","Season 5","The Game","12/19/15"
"Star Trek: The Next Generation","Season 5","Disaster","12/19/15"
"Star Trek: The Next Generation","Season 5","Silicon Avatar","12/19/15"
"Star Trek: The Next Generation","Season 5","Ensign Ro","12/19/15"
"Attack on Titan","Season 1","The Defeated: 57th Expedition Beyond the Walls, Part 6","12/19/15"
"Attack on Titan","Season 1","Crushing Blow: 57th Expedition Beyond the Walls, Part 5","12/19/15"
"The Fresh Prince of Bel-Air","Season 1","Deck the Halls","11/18/15"
"The Fresh Prince of Bel-Air","Season 1","Day Damn One","11/18/15"
"The Fresh Prince of Bel-Air","Season 1","Knowledge Is Power","11/18/15"
"The Fresh Prince of Bel-Air","Season 1","Talking Turkey","11/14/15"
"The Fresh Prince of Bel-Air","Season 1","Courting Disaster","11/14/15"
"The Fresh Prince of Bel-Air","Season 1","Kiss My Butler","11/14/15"
"The Fresh Prince of Bel-Air","Season 1","Someday Your Prince Will Be in Effect: Part 2","11/14/15"
"The Fresh Prince of Bel-Air","Season 1","Someday Your Prince Will Be in Effect: Part 1","11/13/15"
"The Fresh Prince of Bel-Air","Season 1","Def Poet's Society","11/13/15"
"The Fresh Prince of Bel-Air","Season 1","Mistaken Identity","11/13/15"
"The Fresh Prince of Bel-Air","Season 1","Homeboy, Sweet Homeboy","11/13/15"
"The Fresh Prince of Bel-Air","Season 1","Not with My Pig, You Don't","11/9/15"
"The Fresh Prince of Bel-Air","Season 1","Clubba Hubba","11/9/15"
"The Fresh Prince of Bel-Air","Season 1","Bang the Drum, Ashley","11/9/15"
"The Fresh Prince of Bel-Air","Season 1","The Fresh Prince Project","11/9/15"
"Hemlock Grove","Season 1","Measure of Disorder","11/3/15"
"Hemlock Grove","Season 1","The Crucible","11/3/15"
"The Avengers: Earth's Mightiest Heroes","Season 1","Iron Man Is Born","11/2/15"
"The Flash","Season 1","Revenge of the Rogues","11/1/15"
"The Flash","Season 1","The Man in the Yellow Suit","11/1/15"
"The Flash","Season 1","Flash vs. Arrow","11/1/15"
"The Flash","Season 1","Power Outage","11/1/15"
"The Flash","Season 1","The Flash Is Born","10/31/15"
"The Flash","Season 1","Plastique","10/31/15"
"The Flash","Season 1","Going Rogue","10/31/15"
"The Flash","Season 1","Things You Can't Outrun","10/31/15"
"The Flash","Season 1","Fastest Man Alive","10/31/15"
"The Flash","Season 1","Pilot","10/31/15"
"Pokémon The Series: Indigo League","Season 1","The Breeding Center Secret","10/31/15"
"Pokémon The Series: Indigo League","Season 2","Charizard Chills","10/31/15"
"Pokémon The Series: Indigo League","Season 1","The Ultimate Test","10/31/15"
"Knights of Sidonia","Season 1","Oblivion","10/31/15"
"Knights of Sidonia","Season 1","Commencement","10/31/15"
"The Boondocks","Season 2","Tom, Sarah, and Usher","10/30/15"
"The Boondocks","Season 2","...Or Die Trying","10/30/15"
"The Boondocks","Season 1","The Passion of Reverend Ruckus","10/30/15"
"The Boondocks","Season 1","The Block Is Hot","10/29/15"
"The Boondocks","Season 1","Wingmen","10/29/15"
"Gotham","Season 1","All Happy Families Are Alike","10/28/15"
"Gotham","Season 1","Spirit of the Goat","10/28/15"
"Gotham","Season 1","The Anvil or the Hammer","10/27/15"
"Gotham","Season 1","Under the Knife","10/27/15"
"Gotham","Season 1","Beasts of Prey","10/27/15"
"Gotham","Season 1","Everyone Has a Cobblepot","10/27/15"
"Gotham","Season 1","Red Hood","10/27/15"
"Gotham","Season 1","The Blind Fortune Teller","10/27/15"
"Gotham","Season 1","The Scarecrow","10/27/15"
"Gotham","Season 1","The Fearsome Dr. Crane","10/27/15"
"Gotham","Season 1","Welcome Back, Jim Gordon","10/27/15"
"Gotham","Season 1","What the Little Bird Told Him","10/26/15"
"Gotham","Season 1","Rogues' Gallery","10/26/15"
"Gotham","Season 1","Lovecraft","10/26/15"
"Gotham","Season 1","Harvey Dent","10/26/15"
"Gotham","Season 1","The Mask","10/25/15"
"Gotham","Season 1","Penguin's Umbrella","10/25/15"
"Narcos","Season 1","The Palace in Flames","10/23/15"
"Narcos","Season 1","The Men of Always","10/22/15"
"Narcos","Season 1","The Sword of Simón Bolívar","10/22/15"
"Narcos","Season 1","Descenso","10/22/15"
"Gotham","Season 1","Viper","10/21/15"
"Gotham","Season 1","Arkham","10/21/15"
"Gotham","Season 1","The Balloonman","10/20/15"
"Gotham","Season 1","Selina Kyle","10/20/15"
"Gotham","Season 1","Pilot","10/20/15"
"Batman: The Brave and the Bold","Season 1","Rise of the Blue Beetle!","10/18/15"
"Planet Earth","Season 1","From Pole to Pole","10/14/15"
"Doctor Who","Season 8","Robot of Sherwood","10/13/15"
"The Walking Dead","Season 5","Try","10/13/15"
"The Walking Dead","Season 5","Spend","10/13/15"
"The Walking Dead","Season 5","What Happened and What's Going On","10/12/15"
"The Walking Dead","Season 5","Consumed","10/12/15"
"The Walking Dead","Season 5","Coda","10/12/15"
"The Walking Dead","Season 5","Crossed","10/12/15"
"The Walking Dead","Season 5","Self Help","10/12/15"
"The Walking Dead","Season 5","Slabtown","10/12/15"
"The Walking Dead","Season 5","Four Walls and a Roof","10/12/15"
"The Walking Dead","Season 5","Strangers","10/12/15"
"The Walking Dead","Season 5","No Sanctuary","10/12/15"
"The Walking Dead","Season 4","Us","10/12/15"
"The Walking Dead","Season 4","The Grove","10/12/15"
"The Walking Dead","Season 4","Alone","10/12/15"
"The Walking Dead","Season 4","Still","10/12/15"
"The Walking Dead","Season 4","Claimed","10/8/15"
"The Walking Dead","Season 4","Inmates","10/8/15"
"The Walking Dead","Season 4","After","10/8/15"
"The Walking Dead","Season 4","Too Far Gone","10/8/15"
"The Walking Dead","Season 2","Triggerfinger","9/30/15"
"The Walking Dead","Season 2","Nebraska","9/30/15"
"The Walking Dead","Season 2","Pretty Much Dead Already","9/30/15"
"The Walking Dead","Season 2","Secrets","9/30/15"
"The Walking Dead","Season 2","Chupacabra","9/30/15"
"Marvel's Daredevil","Season 1","Daredevil","9/24/15"
"Marvel's Daredevil","Season 1","The Ones We Leave Behind","9/24/15"
"Marvel's Daredevil","Season 1","The Path of the Righteous","9/24/15"
"Marvel's Daredevil","Season 1","Nelson v. Murdock","9/24/15"
"Marvel's Daredevil","Season 1","Speak of the Devil","9/24/15"
"Marvel's Daredevil","Season 1","Shadows in the Glass","9/24/15"
"Marvel's Daredevil","Season 1","Stick","9/24/15"
"Marvel's Daredevil","Season 1","Condemned","9/24/15"
"Marvel's Daredevil","Season 1","World On Fire","9/20/15"
"Marvel's Daredevil","Season 1","In the Blood","9/20/15"
"Marvel's Daredevil","Season 1","Rabbit in a Snowstorm","9/20/15"
"Marvel's Daredevil","Season 1","Cut Man","9/20/15"
"Marvel's Daredevil","Season 1","Into the Ring","9/17/15"
"Doctor Who","Season 8","Into the Dalek","9/9/15"
"Doctor Who","Season 8","Deep Breath","9/8/15"
"Futurama","Season 8","The Silence of the Clamps","8/2/15"
"Futurama","Season 7","Holiday Spectacular","8/2/15"
"Futurama","Season 7","The Mutants Are Revolting","8/2/15"
"Futurama","Season 7","Lrrreconcilable Ndndifferences","7/25/15"
"Futurama","Season 7","The Prisoner of Benda","7/25/15"
"Futurama","Season 7","A Clockwork Origin","7/25/15"
"Scrubs","Season 1","My First Day","7/19/15"
"Futurama","Season 7","That Darn Katz!","6/28/15"
"Futurama","Season 7","The Late Philip J. Fry","6/28/15"
"Futurama","Season 7","Lethal Inspection","6/28/15"
"Futurama","Season 7","The Duh-Vinci Code","6/27/15"
"Futurama","Season 7","Proposition Infinity","6/27/15"
"Futurama","Season 7","Attack of the Killer App","6/27/15"
"Futurama","Season 7","In-A-Gadda-Da-Leela","6/27/15"
"Futurama","Season 7","Rebirth","6/27/15"
"Attack on Titan","Season 1","Primal Desires: Battle of Trost District, Part 9","6/26/15"
"Attack on Titan","Season 1","Wound: Battle of Trost District, Part 8","6/26/15"
"Attack on Titan","Season 1","Icon: Battle of Trost District, Part 7","6/26/15"
"Attack on Titan","Season 1","Answer: Battle of Trost District, Part 6","6/26/15"
"Attack on Titan","Season 1","Where the Left Arm Went: Battle of Trost District, Part 5","6/26/15"
"Attack on Titan","Season 1","Hearing the Heartbeat: Battle of Trost District, Part 4","6/26/15"
"Attack on Titan","Season 1","The World She Saw: Battle of Trost District, Part 2","6/26/15"
"Archer","Season 5","Archer Vice: A Kiss While Dying","6/13/15"
"Archer","Season 5","Archer Vice: White Elephant","6/13/15"
"Halt and Catch Fire","Season 1","1984","6/12/15"
"Supernatural","Season 1","Wendigo","6/10/15"
"Attack on Titan","Season 1","Erwin Smith: 57th Expedition Beyond the Walls, Part 4","6/9/15"
"Attack on Titan","Season 1","Bite: 57th Expedition Beyond the Walls, Part 3","6/9/15"
"Attack on Titan","Season 1","Forest of Giant Trees: 57th Expedition Beyond the Walls, Part 2","6/9/15"
"Attack on Titan","Season 1","Female Titan: 57th Expedition Beyond the Walls, Part 1","6/9/15"
"Attack on Titan","Season 1","What Should be Done: Prelude to the Counterattack, Part 3","6/9/15"
"Attack on Titan","Season 1","Special Operations Squad: Prelude to the Counterattack, Part 2","6/9/15"
"Attack on Titan","Season 1","Still Can't See: Prelude to the Counterattack, Part 1","6/9/15"
"Halt and Catch Fire","Season 1","Up Helly Aa","6/8/15"
"Halt and Catch Fire","Season 1","The 214s","6/8/15"
"Halt and Catch Fire","Season 1","Giant","6/7/15"
"Halt and Catch Fire","Season 1","Landfall","6/7/15"
"Halt and Catch Fire","Season 1","Adventure","6/6/15"
"Halt and Catch Fire","Season 1","Close to the Metal","6/6/15"
"Halt and Catch Fire","Season 1","High Plains Hardware","6/6/15"
"Arpeggio of Blue Steel","Season 1","Those with Shipping Routes","6/6/15"
"Fate/Zero","Season 2","All the Evil in the World","5/19/15"
"Fate/Zero","Season 2","Knight on Two Wheels","5/19/15"
"Fate/Zero","Season 2","Return of the Assassin","5/19/15"
"Fate/Zero","Season 2","Where Justice Is Found","5/18/15"
"Fate/Zero","Season 2","Distant Memories","5/18/15"
"Fate/Zero","Season 2","The Eighth Contract","5/16/15"
"Fate/Zero","Season 2","The End of Honor","5/16/15"
"Fate/Zero","Season 2","Golden Shine","5/14/15"
"Fate/Zero","Season 2","The Mion River Battle","5/14/15"
"The Boondocks","Season 1","Riley Wuz Here","5/12/15"
"Fate/Zero","Season 1","The Forbidden Feast","5/11/15"
"Fate/Zero","Season 1","The Grail Beckons","5/11/15"
"Fate/Zero","Season 1","Rin's Big Adventure","5/11/15"
"Fate/Zero","Season 1","Discussing the Grail","5/10/15"
"Fate/Zero","Season 1","Master and Servant","5/10/15"
"Fate/Zero","Season 1","The Mage-Slayer","5/10/15"
"Fate/Zero","Season 1","Dark Forest","5/10/15"
"Fate/Zero","Season 1","A Night of Schemes","5/9/15"
"Fate/Zero","Season 1","A Wicked Beast's Roar","5/9/15"
"Fate/Zero","Season 1","Spearhead","5/9/15"
"Fate/Zero","Season 1","Fuyuki City","5/9/15"
"Fate/Zero","Season 1","The Fake First Shot","5/9/15"
"Fate/Zero","Season 1","The Summoning of Heroes","5/9/15"
"Farscape","Season 2","Crackers Don't Matter","5/9/15"
"Farscape","Season 2","Taking the Stone","5/9/15"
"Farscape","Season 2","Vitas Mortis","5/9/15"
"Farscape","Season 2","Mind the Baby","5/9/15"
"Farscape","Season 1","Family Ties","5/9/15"
"Farscape","Season 1","Bone to Be Wild","5/9/15"
"Farscape","Season 1","Jeremiah Crichton","5/9/15"
"The Boondocks","Season 1","Let's Nab Oprah","5/9/15"
"The Boondocks","Season 1","The Itis","5/9/15"
"The Boondocks","Season 1","Return of the King","5/9/15"
"That '70s Show","Season 1","Eric's Birthday","5/8/15"
"That '70s Show","Season 1","Pilot","5/8/15"
"The Boondocks","Season 1","The Real","5/7/15"
"The Boondocks","Season 1","A Huey Freeman Christmas","5/7/15"
"The Boondocks","Season 1","The Story of Gangstalicious","5/7/15"
"The Boondocks","Season 1","A Date with the Health Inspector","5/7/15"
"Supernatural","Season 1","Pilot","5/7/15"
"Doctor Who","Season 4","The End of Time: Part 2","5/7/15"
"The Boondocks","Season 1","Granddad's Fight","5/5/15"
"Halt and Catch Fire","Season 1","FUD","5/5/15"
"Halt and Catch Fire","Season 1","I/O","5/5/15"
"The Boondocks","Season 1","Guess Hoe's Coming to Dinner","4/29/15"
"The Boondocks","Season 1","The Trial of Robert Kelly","4/28/15"
"The Boondocks","Season 1","The Garden Party","4/28/15"
"Star Trek: Deep Space Nine","Season 3","Life Support","4/26/15"
"Star Trek: Deep Space Nine","Season 3","Past Tense: Part 2","4/26/15"
"Star Trek: Deep Space Nine","Season 2","Tribunal","4/21/15"
"Star Trek: Deep Space Nine","Season 2","The Collaborator","4/21/15"
"Star Trek: Deep Space Nine","Season 2","Crossover","4/21/15"
"Star Trek: Deep Space Nine","Season 2","The Wire","4/21/15"
"Star Trek: Deep Space Nine","Season 2","Blood Oath","4/21/15"
"Star Trek: Deep Space Nine","Season 2","Playing God","4/21/15"
"Star Trek: Deep Space Nine","Season 2","Shadow Play","4/21/15"
"Star Trek: Deep Space Nine","Season 2","Paradise","4/20/15"
"Star Trek: Deep Space Nine","Season 2","Whispers","4/20/15"
"Hemlock Grove","Season 1","Catabasis","4/14/15"
"Hemlock Grove","Season 1","Hello, Handsome","4/14/15"
"Star Trek: Deep Space Nine","Season 2","Armageddon Game","4/14/15"
"Hemlock Grove","Season 1","In Poor Taste","4/12/15"
"Hemlock Grove","Season 1","The Order of the Dragon","4/12/15"
"Star Trek: Deep Space Nine","Season 2","The Alternate","4/12/15"
"Hemlock Grove","Season 1","The Angel","4/9/15"
"Hemlock Grove","Season 1","Jellyfish in the Sky","4/9/15"
"Star Trek: Deep Space Nine","Season 2","Rivals","4/9/15"
"Heaven's Lost Property","Season 1","An Airborne Prismatic Panty Adventure","4/7/15"
"Farscape","Season 1","The Hidden Memory","4/5/15"
"Farscape","Season 1","Nerve","4/5/15"
"Farscape","Season 1","A Bug's Life","4/5/15"
"Farscape","Season 1","Through the Looking Glass","4/5/15"
"Farscape","Season 1","A Human Reaction","4/5/15"
"Farscape","Season 1","Durka Returns","4/5/15"
"Farscape","Season 1","Rhapsody in Blue","4/5/15"
"Farscape","Season 1","The Flax","4/5/15"
"Farscape","Season 1","Till the Blood Runs Clear","4/5/15"
"Star Trek: Deep Space Nine","Season 2","Necessary Evil","4/4/15"
"Star Trek: Deep Space Nine","Season 2","Rules of Acquisition","4/1/15"
"Weeds","Season 4","Excellent Treasures","4/1/15"
"Weeds","Season 4","Till We Meet Again","4/1/15"
"Weeds","Season 4","Head Cheese","4/1/15"
"Weeds","Season 7","Une Mère Que J'aimerais Baiser","4/1/15"
"Weeds","Season 5","All About My Mom","3/31/15"
"Weeds","Season 7","Bags","3/31/15"
"Star Trek: Deep Space Nine","Season 2","Melora","3/31/15"
"Star Trek: The Next Generation","Season 4","In Theory","3/24/15"
"Star Trek: The Next Generation","Season 4","Qpid","3/24/15"
"Farscape","Season 1","They've Got a Secret","3/22/15"
"Farscape","Season 1","DNA Mad Scientist","3/22/15"
"Farscape","Season 1","That Old Black Magic","3/22/15"
"Farscape","Season 1","I, E.T","3/22/15"
"Farscape","Season 1","Thank God It's Friday, Again","3/22/15"
"Farscape","Season 1","PK Tech Girl","3/22/15"
"Farscape","Season 1","Throne for a Loss","3/22/15"
"Farscape","Season 1","Back and Back and Back to the Future","3/22/15"
"Farscape","Season 1","Exodus from Genesis","3/22/15"
"Farscape","Season 1","Premiere","3/22/15"
"Archer","Season 5","Archer Vice: Arrival / Departure","3/22/15"
"Archer","Season 5","Archer Vice: Filibuster","3/22/15"
"Archer","Season 5","Archer Vice: Palace Intrigue: Part II","3/22/15"
"Archer","Season 5","Archer Vice: Palace Intrigue: Part I","3/22/15"
"Archer","Season 5","Archer Vice: On The Carpet","3/22/15"
"Doctor Who","Season 4","The End of Time: Part 1","3/22/15"
"Doctor Who","Season 4","Planet of the Dead","3/21/15"
"Doctor Who","Season 4","The Next Doctor","3/21/15"
"Star Trek: Deep Space Nine","Season 2","The Siege","3/21/15"
"Star Trek: Deep Space Nine","Season 2","The Circle","3/21/15"
"Star Trek: Deep Space Nine","Season 2","The Homecoming","3/20/15"
"Doctor Who","Season 4","Journey's End","3/19/15"
"Archer","Season 5","Archer Vice: The Rules of Extraction","3/19/15"
"Doctor Who","Season 4","The Stolen Earth","3/18/15"
"Doctor Who","Season 4","Turn Left","3/17/15"
"Doctor Who","Season 4","The Fires of Pompeii","3/17/15"
"Doctor Who","Season 4","Midnight","3/16/15"
"Doctor Who","Season 4","Forest of the Dead","3/15/15"
"Star Trek: The Next Generation","Season 4","The Nth Degree","3/12/15"
"Archer","Season 5","Archer Vice: Smugglers' Blues","3/12/15"
"Archer","Season 5","Archer Vice: Southbound and Down","3/12/15"
"Archer","Season 5","Archer Vice: House Call","3/12/15"
"Archer","Season 4","Sea Tunt: Part II","3/9/15"
"Archer","Season 4","Sea Tunt: Part I","3/9/15"
"Weeds","Season 6","Theoretical Love is Not Dead","3/6/15"
"Weeds","Season 6","Fran Tarkenton","3/5/15"
"Weeds","Season 6","Viking Pride","3/5/15"
"Weeds","Season 6","Dearborn-Again","3/5/15"
"Weeds","Season 6","To Moscow, and Quickly","3/5/15"
"Weeds","Season 6","Gentle Puppies","3/5/15"
"Weeds","Season 6","Pinwheels and Whirligigs","3/5/15"
"Weeds","Season 6","A Shoe for a Shoe","3/5/15"
"Weeds","Season 6","Boomerang","3/5/15"
"Weeds","Season 6","Bliss","3/5/15"
"Weeds","Season 6","A Yippity Sippity","3/5/15"
"Weeds","Season 6","Felling and Swamping","3/5/15"
"Weeds","Season 6","Thwack","3/5/15"
"Weeds","Season 5","Glue","3/4/15"
"Weeds","Season 5","Ducks and Tigers","3/4/15"
"Weeds","Season 5","Perro Insano","3/4/15"
"Weeds","Season 5","Suck 'n' Spit","3/4/15"
"Weeds","Season 5","A Distinctive Horn","3/4/15"
"Weeds","Season 5","Where the Sidewalk Ends","3/4/15"
"Weeds","Season 5","A Modest Proposal","3/4/15"
"Weeds","Season 5","Super Lucky Happy","3/4/15"
"Firefly","Season 1","The Message","3/1/15"
"Firefly","Season 1","Trash","3/1/15"
"Firefly","Season 1","Objects in Space","3/1/15"
"Firefly","Season 1","Heart of Gold","3/1/15"
"Firefly","Season 1","War Stories","3/1/15"
"Firefly","Season 1","Ariel","3/1/15"
"Firefly","Season 1","Out of Gas","3/1/15"
"Firefly","Season 1","Jaynestown","3/1/15"
"Firefly","Season 1","Our Mrs. Reynolds","3/1/15"
"Sekirei","Season 2","The Wind's Answer","3/1/15"
"Firefly","Season 1","Safe","3/1/15"
"Firefly","Season 1","Shindig","3/1/15"
"Firefly","Season 1","Bushwhacked","3/1/15"
"Firefly","Season 1","The Train Job","3/1/15"
"Firefly","Season 1","Serenity","2/28/15"
"Sekirei","Season 2","The Wind Blows","2/26/15"
"Sekirei","Season 2","Silent Omen","2/26/15"
"Okami-san and Her Seven Companions","Season 1","Okami-san and Her Otogi Bank Companions","2/26/15"
"Archer","Season 4","The Papal Chase","2/26/15"
"Archer","Season 4","Un Chien Tangerine","2/26/15"
"Archer","Season 4","The Honeymooners","2/26/15"
"Heaven's Lost Property","Season 1","A Full-Frontal Hero Arises in the World!","2/25/15"
"Gurren Lagann","Season 1","Bust Through The Heavens With Your Drill","2/22/15"
"Weeds","Season 5","Van Nuys","2/21/15"
"Weeds","Season 5","Su-Su-Sucio","2/21/15"
"Weeds","Season 3","Go","2/21/15"
"Weeds","Season 5","Machetes Up Top","2/20/15"
"Weeds","Season 5","Wonderful Wonderful","2/20/15"
"Weeds","Season 4","If You Work for a Living, Why Do You Kill Yourself Working?","2/19/15"
"Weeds","Season 4","No Man Is Pudding","2/18/15"
"Weeds","Season 4","The Three Coolers","2/18/15"
"Weeds","Season 4","The Whole Blah Damn Thing","2/18/15"
"Weeds","Season 4","Lady's a Charm","2/18/15"
"Weeds","Season 4","Mother Thinks the Birds Are After Her","2/18/15"
"Weeds","Season 3","Protection","2/18/15"
"Weeds","Season 3","Risk","2/18/15"
"Weeds","Season 3","The Dark Time","2/18/15"
"Weeds","Season 3","Cankles","2/18/15"
"Weeds","Season 3","Roy Till Called","2/18/15"
"Weeds","Season 3","Release the Hounds","2/18/15"
"Weeds","Season 3","The Two Mrs. Scottsons","2/18/15"
"Weeds","Season 3","He Taught Me How to Drive-By","2/18/15"
"Weeds","Season 3","Grasshopper","2/17/15"
"Weeds","Season 3","Bill Sussman","2/17/15"
"Weeds","Season 3","Sh*t Highway","2/17/15"
"Weeds","Season 3","The Brick Dance","2/17/15"
"Weeds","Season 3","A Pool and His Money","2/17/15"
"Weeds","Season 3","Doing the Backstroke","2/17/15"
"Weeds","Season 2","Pittsburgh","2/17/15"
"Weeds","Season 2","Yeah, Just Like Tomatoes","2/17/15"
"Weeds","Season 2","Mile Deep and a Foot Wide","2/17/15"
"Weeds","Season 2","Bash","2/17/15"
"Weeds","Season 2","MILF Money","2/17/15"
"Weeds","Season 2","Must Find Toes","2/17/15"
"Weeds","Season 2","Crush Girl Love Panic","2/17/15"
"Weeds","Season 2","Mrs. Botwin's Neighborhood","2/17/15"
"Weeds","Season 2","A.K.A. the Plant","2/17/15"
"Weeds","Season 2","Last Tango in Agrestic","2/16/15"
"Weeds","Season 2","Cooking with Jesus","2/16/15"
"Weeds","Season 2","Corn Snake","2/16/15"
"Weeds","Season 1","The Godmother","2/16/15"
"Weeds","Season 1","The Punishment Lighter","2/16/15"
"Weeds","Season 1","The Punishment Light","2/16/15"
"Weeds","Season 1","Higher Education","2/16/15"
"Weeds","Season 1","Dead in the Nethers","2/16/15"
"Star Trek: The Next Generation","Season 4","Identity Crisis","2/12/15"
"Star Trek: The Next Generation","Season 4","Night Terrors","2/12/15"
"Star Trek: The Next Generation","Season 4","Galaxy's Child","2/12/15"
"Star Trek: The Next Generation","Season 4","First Contact","2/11/15"
"Star Trek: The Next Generation","Season 4","Clues","2/11/15"
"Archer","Season 4","Coyote Lovely","2/10/15"
"Archer","Season 4","Live and Let Dine","2/10/15"
"Archer","Season 4","Once Bitten","2/10/15"
"Archer","Season 4","Viscous Coupling","2/10/15"
"Archer","Season 4","Midnight Ron","2/10/15"
"Archer","Season 4","Legs","2/10/15"
"Archer","Season 4","The Wind Cries Mary","2/10/15"
"Weeds","Season 1","Lude Awakening","2/8/15"
"Weeds","Season 1","Fashion of the Christ","2/8/15"
"Weeds","Season 1","Good Sh*t Lollipop","2/8/15"
"Star Trek: The Next Generation","Season 4","Devil's Due","2/8/15"
"Archer","Season 4","Fugue and Riffs","2/8/15"
"Archer","Season 3","Space Race, Part 2","2/8/15"
"Archer","Season 3","Space Race, Part 1","2/8/15"
"Archer","Season 3","Skin Game","2/8/15"
"Archer","Season 3","Crossing Over","2/8/15"
"Archer","Season 3","Bloody Ferlin","2/8/15"
"Archer","Season 3","Lo Scandalo","2/8/15"
"Archer","Season 3","Drift Problem","2/8/15"
"Archer","Season 3","The Limited","2/8/15"
"Archer","Season 3","El Contador","2/8/15"
"Star Trek: The Next Generation","Season 4","The Wounded","2/8/15"
"Star Trek: The Next Generation","Season 4","The Loss","2/8/15"
"Star Trek: The Next Generation","Season 4","Final Mission","2/8/15"
"Star Trek: The Next Generation","Season 4","Reunion","2/7/15"
"Weeds","Season 1","Free Goat","2/7/15"
"Star Trek: The Next Generation","Season 4","Legacy","2/7/15"
"Star Trek: The Next Generation","Season 4","Remember Me","2/7/15"
"Star Trek: The Next Generation","Season 4","Suddenly Human","2/7/15"
"Star Trek: The Next Generation","Season 4","Brothers","2/7/15"
"Star Trek: The Next Generation","Season 3","Transfigurations","2/5/15"
"My Bride Is a Mermaid","Season 1","The Yakuza Wife","2/5/15"
"Star Trek: The Next Generation","Season 3","Menage a Troi","2/5/15"
"Star Trek: The Next Generation","Season 3","The Bonding","2/4/15"
"Star Trek: The Next Generation","Season 3","The Survivors","2/4/15"
"Star Trek: The Next Generation","Season 1","11001001","2/4/15"
"Star Trek: The Next Generation","Season 1","Angel One","2/2/15"
"Star Trek: The Next Generation","Season 1","Datalore","2/2/15"
"Star Trek: The Next Generation","Season 1","Lonely Among Us","2/2/15"
"Star Trek: The Next Generation","Season 1","Where No One Has Gone Before","2/2/15"
"Star Trek: The Next Generation","Season 3","The Price","2/2/15"
"Star Trek: The Next Generation","Season 2","The Schizoid Man","2/2/15"
"Star Trek: The Next Generation","Season 2","The Emissary","2/1/15"
"Star Trek: The Next Generation","Season 2","Peak Performance","2/1/15"
"Doctor Who","Season 2","Tooth and Claw","1/28/15"
"Fullmetal Alchemist","Season 1","Body of the Sanctioned","1/26/15"
"Fullmetal Alchemist","Season 1","Those Who Challenge the Sun","1/26/15"
"Doctor Who","Season 3","Last of the Time Lords","1/25/15"
"Totally Spies!","Season 1","A Thing for Musicians","1/25/15"
"Archer","Season 3","The Man from Jupiter","1/24/15"
"Xena: Warrior Princess","Season 1","Sins of the Past","1/24/15"
"Weeds","Season 1","You Can't Miss the Bear","1/24/15"
"DEATH NOTE","Season 1","New World","1/24/15"
"DEATH NOTE","Season 1","1.28","1/24/15"
"DEATH NOTE","Season 1","Malice","1/24/15"
"DEATH NOTE","Season 1","Vigilance","1/24/15"
"DEATH NOTE","Season 1","Scorn","1/24/15"
"DEATH NOTE","Season 1","Selection","1/24/15"
"DEATH NOTE","Season 1","Transfer","1/23/15"
"DEATH NOTE","Season 1","Justice","1/23/15"
"DEATH NOTE","Season 1","Father","1/23/15"
"DEATH NOTE","Season 1","Impatience","1/23/15"
"DEATH NOTE","Season 1","Abduction","1/23/15"
"DEATH NOTE","Season 1","Renewal","1/23/15"
"DEATH NOTE","Season 1","Silence","1/22/15"
"DEATH NOTE","Season 1","Revival","1/22/15"
"DEATH NOTE","Season 1","Frenzy","1/22/15"
"DEATH NOTE","Season 1","Guidance","1/22/15"
"DEATH NOTE","Season 1","Performance","1/22/15"
"DEATH NOTE","Season 1","Makeshift","1/22/15"
"DEATH NOTE","Season 1","Matsuda","1/21/15"
"DEATH NOTE","Season 1","Ally","1/21/15"
"DEATH NOTE","Season 1","Execution","1/21/15"
"DEATH NOTE","Season 1","Decision","1/21/15"
"DEATH NOTE","Season 1","Wager","1/21/15"
"DEATH NOTE","Season 1","Friend","1/21/15"
"DEATH NOTE","Season 1","Confession","1/21/15"
"DEATH NOTE","Season 1","Love","1/20/15"
"DEATH NOTE","Season 1","Assault","1/20/15"
"DEATH NOTE","Season 1","Doubt","1/20/15"
